model,market,split,entry_dt,side,outcome,win,entry_ask_cents,entry_bid_cents,entry_p_side,entry_p_yes,entry_edge_cents,entry_seconds_to_close,exit_type,exit_dt,exit_seconds_to_close,exit_bid_cents,exit_p_side,exit_fair_edge_to_bid_cents,pnl_cents,settled,cost_cents,entry_fee_cents,exit_fee_cents,total_fee_cents,entry_policy,exit_policy
v42_latent_hole_bookblend80,KXBTC15M-26APR302230-30,train,2026-05-01 02:20:14.066000+00:00,no,no,True,83.0,82.0,0.8728718718817244,0.1271281281182756,4.287187188172439,585.934,settlement_win,,,,,,34.0,True,166.0,2.0,0.0,2.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26APR302245-45,train,2026-05-01 02:35:00.329000+00:00,no,no,True,82.0,81.0,0.8602043425391457,0.1397956574608543,4.020434253914573,599.671,probability_reduce,2026-05-01 02:38:00.527000+00:00,419.473,42.0,0.4747220856778319,5.472208567783191,-80.0,False,164.0,3.0,4.0,7.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26APR302300-00,train,2026-05-01 02:54:02.084000+00:00,no,no,True,74.0,73.0,0.7633099059169901,0.2366900940830099,2.330990591699006,357.916,settlement_win,,,,,,52.0,True,148.0,3.0,0.0,3.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26APR302315-15,train,2026-05-01 03:05:03.069000+00:00,no,yes,False,75.0,74.0,0.800132664255314,0.199867335744686,5.013266425531398,596.931,probability_reduce,2026-05-01 03:08:03.262000+00:00,416.738,10.0,0.1027587210906532,0.27587210906532,-130.0,False,150.0,3.0,2.0,5.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26APR302330-30,train,2026-05-01 03:20:19.369000+00:00,yes,yes,True,99.0,99.0,0.9999761962545004,0.9999761962545004,0.9976196254500422,580.631,settlement_win,,,,,,2.0,True,198.0,1.0,0.0,1.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26APR302345-45,train,2026-05-01 03:39:05.762000+00:00,no,no,True,70.0,69.0,0.7181508150611146,0.28184918493888544,1.8150815061114542,354.238,settlement_win,,,,,,60.0,True,140.0,3.0,0.0,3.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26MAY010000-00,train,2026-05-01 03:55:07.114000+00:00,no,no,True,64.0,63.0,0.6655875073561395,0.3344124926438605,2.558750735613941,292.886,settlement_win,,,,,,72.0,True,128.0,4.0,0.0,4.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26MAY010015-15,train,2026-05-01 04:14:08.446000+00:00,yes,yes,True,98.0,98.0,0.999326357099134,0.999326357099134,1.9326357099133986,51.554,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26MAY010030-30,train,2026-05-01 04:21:09.214000+00:00,no,no,True,63.0,62.0,0.699647666656009,0.3003523333439911,6.964766665600891,530.786,probability_reduce,2026-05-01 04:23:09.414000+00:00,410.586,58.0,0.49285647697684176,-8.714352302315824,-10.0,False,126.0,4.0,4.0,8.0,edge0_ask100_p0.65_stc0-600,prob54
v42_latent_hole_bookblend80,KXBTC15M-26MAY010045-45,train,2026-05-01 04:35:10.431000+00:00,yes,yes,True,79.0,78.0,0.864672124644804,0.864672124644804,7.467212464480397,589.569,settlement_win,,,,,,42.0,True,158.0,3.0,0.0,3.0,edge0_ask100_p0.65_stc0-600,prob54
